filename, description (singular), description (plural)
pheon3.png, a pheon, pheons
pheon4.png, a pheon, pheons
plate.png, a plate, plates
pole-axe-1.png, a pole axe, pole axes
pole-axe-proper-1.png, a pole axe proper, pole axes proper
PoleAxe-2.png, a pole axe, pole axes
PoleAxeProper-2.png, a pole axe proper, pole axes proper
Portcullis.png, a portcullis, portcullises
scales.png, set of scales, sets of scales
scythe.png, a scythe, scythes
shakefor.png, a shakefork, shakeforks
shakefork.png, a shakefork, shakeforks
skull.png, a skull, skulls
SquareBuckle.png, a square buckle, square buckles
torteau.png, a torteau, torteaus
tower2.png, a tower, towers
tower3.png, a tower, towers
tower_3.png, a tower, towers
tree_oak_proper.png, an oak tree proper, oak trees proper
TrefoilSlipped.png, a trefoil slipped, trefoils slipped
two_axes_In_saltire.png, two axes in saltire, pairs of axes in saltire
walnut_leaf.png, a walnut leaf, walnut leaves
whelk.png, a whelk, whelks
wing.png, a wing, wings
winged_spur.png, a winged spur, winged spurs
wings-conjoined-in-lure.png, wings conjoined in lure, pairs of wings conjoined in lure
wings-conjoined.png, wings conjoined, pairs of wings conjoined
wings_conjoined.png, wings conjoined, pairs of wings conjoined
Wings_conjoined_in_lure.png, wings conjoined in lure, pairs of wings conjoined in lure
