filename, description (singular), description (plural)
GriffinsHeadErased.png, a griffin's head erased, griffins' heads erased
griffin_sejant_coward.png, a griffin sejant coward, griffins sejant coward
HareSalient.png, a hare salient, hares salient
hawk.png, a hawk, hawks
hedgehog.png, a hedgehog, hedgehogs
heraldic-eagle.png, a heraldic eagle, heraldic eagles
Heron.png, a heron, herons
HindHeadCouped.png, a hind's head couped, hinds' heads couped
HindHeadErased.png, a hind's head erased, hinds' heads erased
HindStatant.png, a hind statant, hinds statant
HindTrippant.png, a hind trippant, hinds trippant
horse_head_erased.png, a horse's head erased, horses' heads erased
Ibex.png, an ibex, ibexes
leopards_head_erased_and_affronte.png, a leopard's head erased and affronte, leopards' heads erased and affronte
lion-couchant-crowned.png, a lion couchant crowned, lions couchant crowned
Lion_couchant.png, a lion couchant, lion couchant
Lion_Passant2.png, a lion passant, lions passant
Lion_rampant_2.png, a lion rampant, lions rampant
Lion_rampant_double_queued.png, a lion rampant double queued, lions rampant double queued
Lion_rampant_queue_nowed.png, a lion rampant queue nowed, lions rampant queues nowed
Lion_rampant_regardant.png, a lion rampant regardant, lions rampant regardant
Lion_rampant_regardant_queue_nowed.png, a lion rampant regardant queue nowed, lions rampant regardant queues nowed
Lion_sejant_erect.png, a lion sejant erect, lions sejant erect
Lion_sejant_regardant_erect.png, a lion sejant regardant erect, lions sejant regardant erect
Lion_statant.png, a lion statant, lions statant
Lion_Statant_Holding_Out_The_Forepaw.png, a lion statant holding out the forepaw, lions statant holding out their forepaws
martlet_head_erased.png, a martlet's head erased, martlets' heads erased
mischer_salient.png, a mischer salient, mischers salient
OtterStatant.png, an otter statant, otters statant
Pantheon_statant.png, a pantheon statant, pantheons statant
Panther2.png, a panther, panthers
panther_rampant.png, a panther rampant, panthers rampant
PegasusPassant.png, a pegasus passant, pegasi passant
PegasusRampant.png, a pegasus rampant, pegasi rampant
PegasusSalient.png, a pegasus salient,  pegasi salient
rams_head_cabossed.png, a ram's head cabossed, rams' heads cabossed
ram_passant.png, a ram passant, rams passant
ram_rampant.png, a ram rampant, rams rampant
ram_statant.png, a ram statant, rams statant
raven.png, a raven, ravens
reindeer_head_erased.png, a reindeer head erased, reindeer heads erased
reindeer_statant.png, a reindeer statant, reindeers statant
SalmonNaiantProper.png, a salmon naiant proper, salmon naiant proper
